blockNumber,timeStamp,value,functionName
818342,1710446499,0.1014,mint()
818819,1710447453,0.11,mint()
818881,1710447577,0.10403,mint()
818917,1710447649,0.10403,mint()
818962,1710447739,0.10427,mint()
818996,1710447807,0.10502,mint()
819014,1710447843,0.106,mint()
819037,1710447889,0.10655,mint()
819065,1710447945,0.10732,mint()
819777,1710449369,0.10876,mint()
819778,1710449371,0.10955,mint()
819780,1710449375,0.10955,mint()
819783,1710449381,0.11035,mint()
819786,1710449387,0.11196,mint()
819787,1710449389,0.11196,mint()
819788,1710449391,0.11196,mint()
819790,1710449395,0.11277,mint()
819793,1710449401,0.11359,mint()
819794,1710449403,0.11359,mint()
819794,1710449403,0.11359,mint()
819795,1710449405,0.11359,mint()
819795,1710449405,0.11359,mint()
819795,1710449405,0.11359,mint()
819796,1710449407,0.11359,mint()
819798,1710449411,0.11609,mint()
819799,1710449413,0.11609,mint()
819800,1710449415,0.11694,mint()
819802,1710449419,0.11694,mint()
819803,1710449421,0.11694,mint()
819805,1710449425,0.11779,mint()
819805,1710449425,0.11865,mint()
819806,1710449427,0.12038,mint()
819806,1710449427,0.11951,mint()
819808,1710449431,0.12126,mint()
819811,1710449437,0.12214,mint()
819815,1710449445,0.12574,mint()
819815,1710449445,0.12574,mint()
819818,1710449451,0.12665,mint()
819819,1710449453,0.12665,mint()
819820,1710449455,0.12944,mint()
819821,1710449457,0.13038,mint()
819822,1710449459,0.13038,mint()
819822,1710449459,0.12944,mint()
819825,1710449465,0.13038,mint()
819826,1710449467,0.13038,mint()
819827,1710449469,0.13422,mint()
819828,1710449471,0.13422,mint()
819828,1710449471,0.13718,mint()
819828,1710449471,0.13422,mint()
819829,1710449473,0.13718,mint()
819838,1710449491,0.14537,mint()
819838,1710449491,0.14537,mint()
819838,1710449491,0.1475,mint()
819839,1710449493,0.14537,mint()
819842,1710449499,0.15074,mint()
819848,1710449511,0.1586,mint()
819848,1710449511,0.1586,mint()
819849,1710449513,0.1586,mint()
819849,1710449513,0.1586,mint()
819850,1710449515,0.1586,mint()
819850,1710449515,0.1586,mint()
819857,1710449529,0.16565,mint()
819859,1710449533,0.17053,mint()
819860,1710449535,0.17053,mint()
819863,1710449541,0.17555,mint()
819865,1710449545,0.17812,mint()
819867,1710449549,0.17942,mint()
819870,1710449555,0.17942,mint()
819872,1710449559,0.18072,mint()
819873,1710449561,0.18072,mint()
819876,1710449567,0.1874,mint()
819878,1710449571,0.1874,mint()
819879,1710449573,0.18876,mint()
819880,1710449575,0.18876,mint()
819882,1710449579,0.18876,mint()
819887,1710449589,0.19291,mint()
819893,1710449601,0.19291,mint()
819894,1710449603,0.20593,mint()
819897,1710449609,0.21354,mint()
819898,1710449611,0.20004,mint()
819899,1710449613,0.21509,mint()
819900,1710449615,0.21354,mint()
819901,1710449617,0.21354,mint()
819901,1710449617,0.21509,mint()
819903,1710449621,0.21824,mint()
819905,1710449625,0.21824,mint()
819905,1710449625,0.21824,mint()
819907,1710449629,0.22466,mint()
819908,1710449631,0.23297,mint()
819908,1710449631,0.22795,mint()
819911,1710449637,0.23296,mint()
819914,1710449643,0.24689,mint()
819917,1710449649,0.24869,mint()
819917,1710449649,0.24689,mint()
819920,1710449655,0.25601,mint()
819920,1710449655,0.25601,mint()
819922,1710449659,0.25601,mint()
819922,1710449659,0.25601,mint()
819923,1710449661,0.25601,mint()
819926,1710449667,0.26164,mint()
819929,1710449673,0.26935,mint()
819931,1710449677,0.26935,mint()
819932,1710449679,0.27131,mint()
819934,1710449683,0.27328,mint()
819934,1710449683,0.27328,mint()
819940,1710449695,0.28338,mint()
819942,1710449699,0.28752,mint()
819944,1710449703,0.28752,mint()
819945,1710449705,0.28752,mint()
819948,1710449711,0.28961,mint()
819950,1710449715,0.29384,mint()
819952,1710449719,0.29384,mint()
819953,1710449721,0.29598,mint()
819954,1710449723,0.29384,mint()
819954,1710449723,0.29598,mint()
819955,1710449725,0.29598,mint()
819956,1710449727,0.30031,mint()
819960,1710449735,0.3047,mint()
819973,1710449761,0.3114,mint()
819974,1710449763,0.31595,mint()
819976,1710449767,0.31595,mint()
819979,1710449773,0.31825,mint()
819990,1710449795,0.33,mint()
819992,1710449799,0.33,mint()
819996,1710449807,0.33482,mint()
820001,1710449817,0.33726,mint()
820005,1710449825,0.33726,mint()
820011,1710449837,0.33971,mint()
820020,1710449855,0.34218,mint()
820024,1710449863,0.34467,mint()
820038,1710449891,0.35225,mint()
820059,1710449933,0.35739,mint()
820059,1710449933,0.35738,mint()
820066,1710449947,0.35998,mint()
820071,1710449957,0.36524,mint()
820073,1710449961,0.36524,mint()
820078,1710449971,0.37058,mint()
820085,1710449985,0.37873,mint()
820090,1710449995,0.38148,mint()
820092,1710449999,0.38148,mint()
820094,1710450003,0.38426,mint()
820095,1710450005,0.38426,mint()
820098,1710450011,0.38705,mint()
820105,1710450025,0.38987,mint()
820112,1710450039,0.39557,mint()
820116,1710450047,0.40135,mint()
820130,1710450075,0.41316,mint()
820140,1710450095,0.41616,mint()
820146,1710450107,0.41919,mint()
820151,1710450117,0.42224,mint()
820161,1710450137,0.43152,mint()
820163,1710450141,0.43152,mint()
820172,1710450159,0.44101,mint()
820183,1710450181,0.44745,mint()
820187,1710450189,0.45071,mint()
820190,1710450195,0.45071,mint()
820193,1710450201,0.45399,mint()
820194,1710450203,0.45398,mint()
820200,1710450215,0.45729,mint()
820208,1710450231,0.46734,mint()
820212,1710450239,0.46734,mint()
820213,1710450241,0.47074,mint()
820223,1710450261,0.47762,mint()
820231,1710450277,0.47762,mint()
820236,1710450287,0.48109,mint()
820244,1710450303,0.48458,mint()
